Cu source	Ligand	Ligand equiv.	Base	Base equiv.	Solvent	Molarity	T [°C]	BnNH2 equiv.	Yield of 3aa	Conversion of 1a	Round	Acquisition type
Cu(OAc)2	L5	0.05	Cs2CO3	2	PhMe	0.5	60	1.5	0	06.01	0	TS
Cu(OAc)2	L8	0.05	Cs2CO3	2	PhMe	1	80	1.1	0	2.52	0	TS
Cu(OAc)2	L10	0.05	Et3N	1	EtOH	0.5	60	1.1	0	11.24	0	TS
Cu2O	L3	0.1	TBAO	2	EtOH	1	80	1.5	20.63	74.42	0	TS
CuBr	L5	0.1	NaOtBu	0.5	PhMe	1	60	1.1	0	34.35	0	TS
Cu2O	L5	0.1	Et3N	1	2Me-THF	1	80	1.1	4.61	16.06	0	TS
CuCl	L1	0.05	Cs2CO3	1	2Me-THF	1	60	1.1	0	16.97	0	TS
Cu2O	L9	0.1	NaOtBu	2	2Me-THF	1	60	1.5	0	63.52	0	TS
Cu(OAc)2	L1	0.1	NaOAc	2	ACN	1	60	1.1	3.1	3.70	1	TS
Cu(OAc)2	L4	0.05	K3PO4	2	EtOH	1	80	1.5	23.55	85.22	1	TS
CuBr	L4	0.05	NaOAc	1	DMSO	1	60	1.1	19.23	28.00	1	TS
CuCl	L4	0.05	K3PO4	1	iBuOH	1	80	1.5	33.45	77.25	1	TS
CuCl	L2	0.1	NaOAc	1	EtOH	1	80	1.5	13.89	37.61	1	TS
CuBr	L3	0.05	TBAO	0.5	DMSO	1	80	1.5	22.09	57.66	1	TS
CuCl	L6	0.1	Et3N	1	iBuOH	1	80	1.1	3.2	3.35	1	TS
CuI	L7	0.1	TBAO	0.5	iBuOH	1	80	1.5	20.31	32.44	1	TS
Cu(OAc)2	L3	0.05	NaOtBu	2	iBuOH	0.5	80	1.1	0	100.00	2	TS
Cu2O	L2	0.05	NaOtBu	1	DMSO	1	80	1.5	2.12	100.00	2	TS
CuCl	L8	0.1	K3PO4	1	2Me-THF	0.5	60	1.5	0.31	0.39	2	TS
CuCl	L10	0.1	TBAO	1	ACN	1	60	1.5	3.38	12.01	2	TS
CuBr	L8	0.1	K3PO4	0.5	2Me-THF	0.5	60	1.1	10.92	20.02	2	TS
CuCl	L5	0.1	K3PO4	1	2Me-THF	1	80	1.5	4.91	15.14	2	TS
Cu(OAc)2	L4	0.05	Cs2CO3	0.5	2Me-THF	1	60	1.5	0.67	11.31	2	TS
CuI	L9	0.1	NaOtBu	2	DMSO	1	60	1.5	0	100.00	2	TS
Cu(OAc)2	L8	0.05	KOH	1	DMSO	1	80	1.1	16.69	76.32	3	TS
Cu2O	L4	0.1	K2CO3	1	iBuOH	1	80	1.1	33.99	45.70	3	TS
CuCl	L6	0.1	NaOAc	1	EtOH	0.5	60	1.1	1.3	10.46	3	TS
CuCl	L1	0.1	Et3N	1	ACN	1	80	1.1	3.77	14.70	3	TS
CuCl	L7	0.05	NaOAc	1	2Me-THF	0.5	80	1.1	2.21	14.75	3	TS
CuBr	L11	0.05	KOH	2	EtOH	0.5	60	1.1	0	-7.88	3	TS
CuCl	L3	0.1	NaOAc	1	PhMe	1	80	1.1	1.39	20.57	3	TS
CuI	L8	0.05	NaOAc	1	DMSO	1	80	1.5	33.53	56.73	3	TS
Cu(OAc)2	L5	0.1	TBAO	2	PhMe	1	80	1.1	11.27	66.65	4	TS
Cu2O	L4	0.05	Et3N	1	PhMe	0.5	60	1.1	2.10	21.90	4	TS
Cu2O	L7	0.1	Et3N	2	DMSO	0.5	80	1.1	25.03	42.46	4	TS
CuCl	L5	0.05	K3PO4	1	EtOH	1	60	1.1	18.38	50.80	4	TS
CuBr	L4	0.05	Cs2CO3	1	PhMe	1	80	1.1	8.28	29.50	4	TS
CuBr	L3	0.1	Et3N	0.5	iBuOH	0.5	60	1.5	1.75	26.60	4	TS
CuCl	L9	0.1	Cs2CO3	1	EtOH	1	80	1.5	37.41	100.00	4	TS
CuI	L5	0.05	K2CO3	1	DMSO	0.5	80	1.5	30.18	59.88	4	TS
Cu(OAc)2	L9	0.1	NaOAc	1	DMSO	1	80	1.1	30.30	40.01	5	TS
CuBr	L6	0.05	NaOAc	1	2Me-THF	0.5	80	1.1	1.67	8.12	5	TS
CuCl	L6	0.1	NaOtBu	2	ACN	0.5	80	1.1	8.11	80.86	5	TS
CuCl	L10	0.1	NaOtBu	1	iBuOH	0.5	60	1.1	8.58	79.68	5	TS
CuCl	L12	0.05	Et3N	1	ACN	0.5	80	1.5	4.00	22.23	5	TS
CuCl	L8	0.05	Cs2CO3	0.5	ACN	0.5	60	1.1	1.37	21.35	5	TS
