	Cu source	Cu source SMILE	Ligand	Ligand SMILE	Ligand equiv.	Base	Base SMILE	Base equiv.	Solvent	Solvent SMILE	Molarity	T [°C]	BnNH2 equiv.	Yield of 3aa	Conversion of 1a	Acquisition type
0	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L5	CC(C)C(=O)2CCCc1cccnc12	0.05	Cs2CO3	[Cs+].[Cs+].[O-]C([O-])=O	2.0	PhMe	Cc1ccccc1	0.5	60	1.5	0.0	6.01	TS
1	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L8	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	Cs2CO3	[Cs+].[Cs+].[O-]C([O-])=O	2.0	PhMe	Cc1ccccc1	1.0	80	1.1	0.0	2.52	TS
2	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L10	Cc1cccc(C)c1NC(=O)C(=O)O	0.05	Et3N	CCN(CC)CC	1.0	EtOH	OCC	0.5	60	1.1	0.0	11.24	TS
3	Cu2O	[Cu]O[Cu]	L3	C1CCC(C(C1)N)N	0.1	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2.0	EtOH	OCC	1.0	80	1.5	20.63	74.42	TS
4	CuBr	Br[Cu]	L5	CC(C)C(=O)2CCCc1cccnc12	0.1	NaOtBu	[Na+].[O-]C(C)(C)C	0.5	PhMe	Cc1ccccc1	1.0	60	1.1	0.0	34.35	TS
5	Cu2O	[Cu]O[Cu]	L5	CC(C)C(=O)2CCCc1cccnc12	0.1	Et3N	CCN(CC)CC	1.0	2Me-THF	O1C(C)CCC1	1.0	80	1.1	4.61	16.06	TS
6	CuCl	Cl[Cu]	L1	OCCO	0.05	Cs2CO3	[Cs+].[Cs+].[O-]C([O-])=O	1.0	2Me-THF	O1C(C)CCC1	1.0	60	1.1	0.0	16.97	TS
7	Cu2O	[Cu]O[Cu]	L9	O=n2cccc1cccc(O)c12	0.1	NaOtBu	[Na+].[O-]C(C)(C)C	2.0	2Me-THF	O1C(C)CCC1	1.0	60	1.5	0.0	63.52	TS
8	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L1	OCCO	0.1	NaOAc	[Na+].[O-]C(=O)C	2.0	ACN	CC#N	1.0	60	1.1	3.1	3.7	TS
9	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L4	C1C[C@H](NC1)C(=O)O	0.05	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2.0	EtOH	OCC	1.0	80	1.5	23.55	85.22	TS
10	CuBr	Br[Cu]	L4	C1C[C@H](NC1)C(=O)O	0.05	NaOAc	[Na+].[O-]C(=O)C	1.0	DMSO	CS(=O)C	1.0	60	1.1	19.23	28.0	TS
11	CuCl	Cl[Cu]	L4	C1C[C@H](NC1)C(=O)O	0.05	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1.0	iBuOH	CC(C)CO	1.0	80	1.5	33.45	77.25	TS
12	CuCl	Cl[Cu]	L2	CN(C)CCO	0.1	NaOAc	[Na+].[O-]C(=O)C	1.0	EtOH	OCC	1.0	80	1.5	13.89	37.61	TS
13	CuBr	Br[Cu]	L3	C1CCC(C(C1)N)N	0.05	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	DMSO	CS(=O)C	1.0	80	1.5	22.09	57.66	TS
14	CuCl	Cl[Cu]	L6	CCN(CC)C(=O)c1ccccc1O	0.1	Et3N	CCN(CC)CC	1.0	iBuOH	CC(C)CO	1.0	80	1.1	3.2	3.35	TS
15	CuI	[Cu]I	L7	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	iBuOH	CC(C)CO	1.0	80	1.5	20.31	32.44	TS
16	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L3	C1CCC(C(C1)N)N	0.05	NaOtBu	[Na+].[O-]C(C)(C)C	2.0	iBuOH	CC(C)CO	0.5	80	1.1	0.0	100.0	TS
17	Cu2O	[Cu]O[Cu]	L2	CN(C)CCO	0.05	NaOtBu	[Na+].[O-]C(C)(C)C	1.0	DMSO	CS(=O)C	1.0	80	1.5	2.12	100.0	TS
18	CuCl	Cl[Cu]	L8	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1.0	2Me-THF	O1C(C)CCC1	0.5	60	1.5	0.31	0.39	TS
19	CuCl	Cl[Cu]	L10	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	1.0	ACN	CC#N	1.0	60	1.5	3.38	12.01	TS
20	CuBr	Br[Cu]	L8	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	0.5	2Me-THF	O1C(C)CCC1	0.5	60	1.1	10.92	20.02	TS
21	CuCl	Cl[Cu]	L5	CC(C)C(=O)2CCCc1cccnc12	0.1	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1.0	2Me-THF	O1C(C)CCC1	1.0	80	1.5	4.91	15.14	TS
22	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L4	C1C[C@H](NC1)C(=O)O	0.05	Cs2CO3	[Cs+].[Cs+].[O-]C([O-])=O	0.5	2Me-THF	O1C(C)CCC1	1.0	60	1.5	0.67	11.31	TS
23	CuI	[Cu]I	L9	O=n2cccc1cccc(O)c12	0.1	NaOtBu	[Na+].[O-]C(C)(C)C	2.0	DMSO	CS(=O)C	1.0	60	1.5	0.0	100.0	TS
24	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L8	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	KOH	[K+].[OH-]	1.0	DMSO	CS(=O)C	1.0	80	1.1	16.69	76.32	TS
25	Cu2O	[Cu]O[Cu]	L4	C1C[C@H](NC1)C(=O)O	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	1.0	iBuOH	CC(C)CO	1.0	80	1.1	33.99	45.7	TS
26	CuCl	Cl[Cu]	L6	CCN(CC)C(=O)c1ccccc1O	0.1	NaOAc	[Na+].[O-]C(=O)C	1.0	EtOH	OCC	0.5	60	1.1	1.3	10.46	TS
27	CuCl	Cl[Cu]	L1	OCCO	0.1	Et3N	CCN(CC)CC	1.0	ACN	CC#N	1.0	80	1.1	3.77	14.7	TS
28	CuCl	Cl[Cu]	L7	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	NaOAc	[Na+].[O-]C(=O)C	1.0	2Me-THF	O1C(C)CCC1	0.5	80	1.1	2.21	14.75	TS
29	CuBr	Br[Cu]	L11	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	KOH	[K+].[OH-]	2.0	EtOH	OCC	0.5	60	1.1	0.0	-7.88	TS
30	CuCl	Cl[Cu]	L3	C1CCC(C(C1)N)N	0.1	NaOAc	[Na+].[O-]C(=O)C	1.0	PhMe	Cc1ccccc1	1.0	80	1.1	1.39	20.57	TS
31	CuI	[Cu]I	L8	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	NaOAc	[Na+].[O-]C(=O)C	1.0	DMSO	CS(=O)C	1.0	80	1.5	33.53	56.73	TS
32	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L5	CC(C)C(=O)2CCCc1cccnc12	0.1	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2.0	PhMe	Cc1ccccc1	1.0	80	1.1	11.27	66.65	TS
33	Cu2O	[Cu]O[Cu]	L4	C1C[C@H](NC1)C(=O)O	0.05	Et3N	CCN(CC)CC	1.0	PhMe	Cc1ccccc1	0.5	60	1.1	2.1	21.9	TS
34	Cu2O	[Cu]O[Cu]	L7	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	Et3N	CCN(CC)CC	2.0	DMSO	CS(=O)C	0.5	80	1.1	25.03	42.46	TS
35	CuCl	Cl[Cu]	L5	CC(C)C(=O)2CCCc1cccnc12	0.05	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1.0	EtOH	OCC	1.0	60	1.1	18.38	50.8	TS
36	CuBr	Br[Cu]	L4	C1C[C@H](NC1)C(=O)O	0.05	Cs2CO3	[Cs+].[Cs+].[O-]C([O-])=O	1.0	PhMe	Cc1ccccc1	1.0	80	1.1	8.28	29.5	TS
37	CuBr	Br[Cu]	L3	C1CCC(C(C1)N)N	0.1	Et3N	CCN(CC)CC	0.5	iBuOH	CC(C)CO	0.5	60	1.5	1.75	26.6	TS
38	CuCl	Cl[Cu]	L9	O=n2cccc1cccc(O)c12	0.1	Cs2CO3	[Cs+].[Cs+].[O-]C([O-])=O	1.0	EtOH	OCC	1.0	80	1.5	37.41	100.0	TS
39	CuI	[Cu]I	L5	CC(C)C(=O)2CCCc1cccnc12	0.05	K2CO3	C(=O)([O-])[O-].[K+].[K+]	1.0	DMSO	CS(=O)C	0.5	80	1.5	30.18	59.88	TS
40	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L9	O=n2cccc1cccc(O)c12	0.1	NaOAc	[Na+].[O-]C(=O)C	1.0	DMSO	CS(=O)C	1.0	80	1.1	30.3	40.01	TS
41	CuBr	Br[Cu]	L6	CCN(CC)C(=O)c1ccccc1O	0.05	NaOAc	[Na+].[O-]C(=O)C	1.0	2Me-THF	O1C(C)CCC1	0.5	80	1.1	1.67	8.12	TS
42	CuCl	Cl[Cu]	L6	CCN(CC)C(=O)c1ccccc1O	0.1	NaOtBu	[Na+].[O-]C(C)(C)C	2.0	ACN	CC#N	0.5	80	1.1	8.11	80.86	TS
43	CuCl	Cl[Cu]	L10	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	NaOtBu	[Na+].[O-]C(C)(C)C	1.0	iBuOH	CC(C)CO	0.5	60	1.1	8.58	79.68	TS
44	CuCl	Cl[Cu]	L12	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	Et3N	CCN(CC)CC	1.0	ACN	CC#N	0.5	80	1.5	4.0	22.23	TS
45	CuCl	Cl[Cu]	L8	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	Cs2CO3	[Cs+].[Cs+].[O-]C([O-])=O	0.5	ACN	CC#N	0.5	60	1.1	1.37	21.35	TS
46	CuCl	Cl[Cu]	L4	C1C[C@H](NC1)C(=O)O	0.1	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1.0	ACN	CC#N	1.0	80	1.5	48.52	65.85	TS
47	CuI	[Cu]I	L6	CCN(CC)C(=O)c1ccccc1O	0.1	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2.0	iBuOH	CC(C)CO	1.0	80	1.5	13.11	64.3	TS
48	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L3	C1CCC(C(C1)N)N	0.1	NaOtBu	[Na+].[O-]C(C)(C)C	2.0	EtOH	OCC	1.0	80	1.5	41.82	98.2	TS
49	Cu2O	[Cu]O[Cu]	L4	C1C[C@H](NC1)C(=O)O	0.05	Cs2CO3	[Cs+].[Cs+].[O-]C([O-])=O	1.0	iBuOH	CC(C)CO	1.0	80	1.1	3.33	70.55	TS
50	CuI	[Cu]I	L1	OCCO	0.1	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2.0	PhMe	Cc1ccccc1	1.0	60	1.5	1.69	49.28	TS
51	CuCl	Cl[Cu]	L5	CC(C)C(=O)2CCCc1cccnc12	0.1	Et3N	CCN(CC)CC	1.0	iBuOH	CC(C)CO	1.0	60	1.1	3.11	16.04	TS
52	Cu2O	[Cu]O[Cu]	L3	C1CCC(C(C1)N)N	0.05	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2.0	DMSO	CS(=O)C	1.0	80	1.1	22.43	35.29	TS
53	Cu2O	[Cu]O[Cu]	L1	OCCO	0.05	Cs2CO3	[Cs+].[Cs+].[O-]C([O-])=O	2.0	DMSO	CS(=O)C	1.0	80	1.5	14.04	75.16	TS
54	CuCl	Cl[Cu]	L4	C1C[C@H](NC1)C(=O)O	0.1	KOH	[K+].[OH-]	0.5	2Me-THF	O1C(C)CCC1	1.0	60	1.5	0.65	5.85	TS
55	CuI	[Cu]I	L9	O=n2cccc1cccc(O)c12	0.1	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2.0	2Me-THF	O1C(C)CCC1	1.0	60	1.5	12.43	62.46	TS
56	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L7	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	NaOtBu	[Na+].[O-]C(C)(C)C	0.5	DMSO	CS(=O)C	0.5	60	1.5	23.83	57.17	TS
57	Cu2O	[Cu]O[Cu]	L2	CN(C)CCO	0.1	KOH	[K+].[OH-]	2.0	ACN	CC#N	1.0	80	1.5	13.84	100.0	TS
58	CuBr	Br[Cu]	L7	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	2Me-THF	O1C(C)CCC1	0.5	60	1.5	9.55	23.32	TS
59	Cu2O	[Cu]O[Cu]	L8	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	1.0	DMSO	CS(=O)C	0.5	60	1.1	6.59	17.15	TS
60	CuCl	Cl[Cu]	L12	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2.0	DMSO	CS(=O)C	0.5	60	1.5	26.71	42.07	TS
61	CuCl	Cl[Cu]	L8	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	KOH	[K+].[OH-]	2.0	iBuOH	CC(C)CO	0.5	60	1.1	0.0	100.0	TS
62	CuCl	Cl[Cu]	L3	C1CCC(C(C1)N)N	0.05	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1.0	EtOH	OCC	0.5	80	1.5	12.49	75.26	TS
63	CuBr	Br[Cu]	L12	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.1	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	DMSO	CS(=O)C	1.0	60	1.1	9.62	40.43	TS
64	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L9	O=n2cccc1cccc(O)c12	0.1	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2.0	EtOH	OCC	1.0	80	1.1	13.06	82.12	TS
65	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L12	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	K3PO4	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2.0	iBuOH	CC(C)CO	1.0	80	1.1	64.47	80.45	TS
66	CuBr	Br[Cu]	L7	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	K2CO3	C(=O)([O-])[O-].[K+].[K+]	1.0	DMSO	CS(=O)C	1.0	80	1.5	59.01	70.1	TS
67	CuCl	Cl[Cu]	L2	CN(C)CCO	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	0.5	2Me-THF	O1C(C)CCC1	0.5	80	1.5	3.29	15.46	TS
68	Cu2O	[Cu]O[Cu]	L3	C1CCC(C(C1)N)N	0.05	Et3N	CCN(CC)CC	2.0	PhMe	Cc1ccccc1	0.5	80	1.5	1.62	11.5	TS
69	CuBr	Br[Cu]	L1	OCCO	0.05	Et3N	CCN(CC)CC	2.0	2Me-THF	O1C(C)CCC1	0.5	60	1.5	0.41	4.39	TS
70	CuCl	Cl[Cu]	L1	OCCO	0.1	Et3N	CCN(CC)CC	1.0	2Me-THF	O1C(C)CCC1	1.0	80	1.5	2.65	24.3	TS
71	CuI	[Cu]I	L9	O=n2cccc1cccc(O)c12	0.1	Et3N	CCN(CC)CC	1.0	DMSO	CS(=O)C	0.5	60	1.5	10.77	27.53	TS
72	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L9	O=n2cccc1cccc(O)c12	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	1.0	ACN	CC#N	1.0	80	1.1	16.24	29.99	TS
73	Cu2O	[Cu]O[Cu]	L10	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	KOH	[K+].[OH-]	1.0	ACN	CC#N	0.5	80	1.1	32.51	73.13	TS
74	CuBr	Br[Cu]	L4	C1C[C@H](NC1)C(=O)O	0.05	Et3N	CCN(CC)CC	1.0	EtOH	OCC	1.0	60	1.5	6.41	15.6	TS
75	CuCl	Cl[Cu]	L5	CC(C)C(=O)2CCCc1cccnc12	0.1	Et3N	CCN(CC)CC	0.5	PhMe	Cc1ccccc1	0.5	60	1.1	1.21	14.25	TS
76	CuCl	Cl[Cu]	L12	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	NaOAc	[Na+].[O-]C(=O)C	1.0	iBuOH	CC(C)CO	0.5	60	1.1	5.57	31.87	TS
77	CuCl	Cl[Cu]	L8	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	Cs2CO3	[Cs+].[Cs+].[O-]C([O-])=O	2.0	DMSO	CS(=O)C	0.5	60	1.1	9.61	32.29	TS
78	CuCl	Cl[Cu]	L3	C1CCC(C(C1)N)N	0.05	NaOAc	[Na+].[O-]C(=O)C	2.0	ACN	CC#N	1.0	60	1.1	1.43	7.47	TS
79	CuI	[Cu]I	L9	O=n2cccc1cccc(O)c12	0.1	NaOAc	[Na+].[O-]C(=O)C	1.0	EtOH	OCC	1.0	60	1.1	4.97	35.4	TS
80	Cu(OAc)2	[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	L8	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	K2CO3	C(=O)([O-])[O-].[K+].[K+]	2.0	DMSO	CS(=O)C	1.0	80	1.1	34.54	41.14	TS
81	Cu2O	[Cu]O[Cu]	L11	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	TBAO	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	iBuOH	CC(C)CO	1.0	80	1.1	30.55	72.78	TS
