Cu source	Ligand	Ligand equiv.	Base	Base equiv.	Solvent	Molarity	T [°C]	BnNH2 equiv.	Yield of 3aa	Conversion of 1a	Round	Acquisition type
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	CC(C)C(=O)2CCCc1cccnc12	0.05	[Cs+].[Cs+].[O-]C([O-])=O	2	Cc1ccccc1	0.5	60	1.5	0	06.01	0	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	[Cs+].[Cs+].[O-]C([O-])=O	2	Cc1ccccc1	1	80	1.1	0	2.52	0	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	Cc1cccc(C)c1NC(=O)C(=O)O	0.05	CCN(CC)CC	1	OCC	0.5	60	1.1	0	11.24	0	TS
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	1	80	1.5	20.63	74.42	0	TS
Br[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	NaOtBu	0.5	Cc1ccccc1	1	60	1.1	0	34.35	0	TS
[Cu]O[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	CCN(CC)CC	1	O1C(C)CCC1	1	80	1.1	4.61	16.06	0	TS
Cl[Cu]	OCCO	0.05	[Cs+].[Cs+].[O-]C([O-])=O	1	O1C(C)CCC1	1	60	1.1	0	16.97	0	TS
[Cu]O[Cu]	O=n2cccc1cccc(O)c12	0.1	NaOtBu	2	O1C(C)CCC1	1	60	1.5	0	63.52	0	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	OCCO	0.1	[Na+].[O-]C(=O)C	2	ACN	1	60	1.1	3.1	3.70	1	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	C1C[C@H](NC1)C(=O)O	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	OCC	1	80	1.5	23.55	85.22	1	TS
Br[Cu]	C1C[C@H](NC1)C(=O)O	0.05	[Na+].[O-]C(=O)C	1	CS(=O)C	1	60	1.1	19.23	28.00	1	TS
Cl[Cu]	C1C[C@H](NC1)C(=O)O	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1	CC(C)CO	1	80	1.5	33.45	77.25	1	TS
Cl[Cu]	CN(C)CCO	0.1	[Na+].[O-]C(=O)C	1	OCC	1	80	1.5	13.89	37.61	1	TS
Br[Cu]	C1CCC(C(C1)N)N	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	CS(=O)C	1	80	1.5	22.09	57.66	1	TS
Cl[Cu]	CCN(CC)C(=O)c1ccccc1O	0.1	CCN(CC)CC	1	CC(C)CO	1	80	1.1	3.2	3.35	1	TS
[Cu]I	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	CC(C)CO	1	80	1.5	20.31	32.44	1	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	C1CCC(C(C1)N)N	0.05	NaOtBu	2	CC(C)CO	0.5	80	1.1	0	100.00	2	TS
[Cu]O[Cu]	CN(C)CCO	0.05	NaOtBu	1	CS(=O)C	1	80	1.5	2.12	100.00	2	TS
Cl[Cu]	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1	O1C(C)CCC1	0.5	60	1.5	0.31	0.39	2	TS
Cl[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	1	ACN	1	60	1.5	3.38	12.01	2	TS
Br[Cu]	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	0.5	O1C(C)CCC1	0.5	60	1.1	10.92	20.02	2	TS
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1	O1C(C)CCC1	1	80	1.5	4.91	15.14	2	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	C1C[C@H](NC1)C(=O)O	0.05	[Cs+].[Cs+].[O-]C([O-])=O	0.5	O1C(C)CCC1	1	60	1.5	0.67	11.31	2	TS
[Cu]I	O=n2cccc1cccc(O)c12	0.1	NaOtBu	2	CS(=O)C	1	60	1.5	0	100.00	2	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	[K+].[OH-]	1	CS(=O)C	1	80	1.1	16.69	76.32	3	TS
[Cu]O[Cu]	C1C[C@H](NC1)C(=O)O	0.1	C(=O)([O-])[O-].[K+].[K+]	1	CC(C)CO	1	80	1.1	33.99	45.70	3	TS
Cl[Cu]	CCN(CC)C(=O)c1ccccc1O	0.1	[Na+].[O-]C(=O)C	1	OCC	0.5	60	1.1	1.3	10.46	3	TS
Cl[Cu]	OCCO	0.1	CCN(CC)CC	1	ACN	1	80	1.1	3.77	14.70	3	TS
Cl[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	[Na+].[O-]C(=O)C	1	O1C(C)CCC1	0.5	80	1.1	2.21	14.75	3	TS
Br[Cu]	Cc2ccc1ccccc1c2NC(=O)C(=O)NCc3ccccc3	0.05	[K+].[OH-]	2	OCC	0.5	60	1.1	0	-7.88	3	TS
Cl[Cu]	C1CCC(C(C1)N)N	0.1	[Na+].[O-]C(=O)C	1	Cc1ccccc1	1	80	1.1	1.39	20.57	3	TS
[Cu]I	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	[Na+].[O-]C(=O)C	1	CS(=O)C	1	80	1.5	33.53	56.73	3	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	CC(C)C(=O)2CCCc1cccnc12	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	Cc1ccccc1	1	80	1.1	11.27	66.65	4	TS
[Cu]O[Cu]	C1C[C@H](NC1)C(=O)O	0.05	CCN(CC)CC	1	Cc1ccccc1	0.5	60	1.1	2.10	21.90	4	TS
[Cu]O[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	CCN(CC)CC	2	CS(=O)C	0.5	80	1.1	25.03	42.46	4	TS
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1	OCC	1	60	1.1	18.38	50.80	4	TS
Br[Cu]	C1C[C@H](NC1)C(=O)O	0.05	[Cs+].[Cs+].[O-]C([O-])=O	1	Cc1ccccc1	1	80	1.1	8.28	29.50	4	TS
Br[Cu]	C1CCC(C(C1)N)N	0.1	CCN(CC)CC	0.5	CC(C)CO	0.5	60	1.5	1.75	26.60	4	TS
Cl[Cu]	O=n2cccc1cccc(O)c12	0.1	[Cs+].[Cs+].[O-]C([O-])=O	1	OCC	1	80	1.5	37.41	100.00	4	TS
[Cu]I	CC(C)C(=O)2CCCc1cccnc12	0.05	C(=O)([O-])[O-].[K+].[K+]	1	CS(=O)C	0.5	80	1.5	30.18	59.88	4	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	O=n2cccc1cccc(O)c12	0.1	[Na+].[O-]C(=O)C	1	CS(=O)C	1	80	1.1	30.30	40.01	5	TS
Br[Cu]	CCN(CC)C(=O)c1ccccc1O	0.05	[Na+].[O-]C(=O)C	1	O1C(C)CCC1	0.5	80	1.1	1.67	8.12	5	TS
Cl[Cu]	CCN(CC)C(=O)c1ccccc1O	0.1	NaOtBu	2	ACN	0.5	80	1.1	8.11	80.86	5	TS
Cl[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	NaOtBu	1	CC(C)CO	0.5	60	1.1	8.58	79.68	5	TS
Cl[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	CCN(CC)CC	1	ACN	0.5	80	1.5	4.00	22.23	5	TS
Cl[Cu]	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	[Cs+].[Cs+].[O-]C([O-])=O	0.5	ACN	0.5	60	1.1	1.37	21.35	5	TS
Cl[Cu]	C1C[C@H](NC1)C(=O)O	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1	ACN	1	80	1.5	48.52	65.85	5	TS
[Cu]I	CCN(CC)C(=O)c1ccccc1O	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	CC(C)CO	1	80	1.5	13.11	64.30	5	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	C1CCC(C(C1)N)N	0.1	NaOtBu	2	OCC	1	80	1.5	41.82	98.20	6	TS
[Cu]O[Cu]	C1C[C@H](NC1)C(=O)O	0.05	[Cs+].[Cs+].[O-]C([O-])=O	1	CC(C)CO	1	80	1.1	3.33	70.55	6	TS
[Cu]I	OCCO	0.1	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	Cc1ccccc1	1	60	1.5	1.69	49.28	6	TS
Cl[Cu]	CC(C)C(=O)2CCCc1cccnc12	0.1	CCN(CC)CC	1	CC(C)CO	1	60	1.1	3.11	16.04	6	TS
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	CS(=O)C	1	80	1.1	22.43	35.29	6	TS
[Cu]O[Cu]	OCCO	0.05	[Cs+].[Cs+].[O-]C([O-])=O	2	CS(=O)C	1	80	1.5	14.04	75.16	6	TS
Cl[Cu]	C1C[C@H](NC1)C(=O)O	0.1	[K+].[OH-]	0.5	O1C(C)CCC1	1	60	1.5	0.65	5.85	6	TS
[Cu]I	O=n2cccc1cccc(O)c12	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	O1C(C)CCC1	1	60	1.5	12.43	62.46	6	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.1	NaOtBu	0.5	CS(=O)C	0.5	60	1.5	23.83	57.17	7	TS
[Cu]O[Cu]	CN(C)CCO	0.1	[K+].[OH-]	2	ACN	1	80	1.5	13.84	100.00	7	TS
Br[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	O1C(C)CCC1	0.5	60	1.5	9.55	23.32	7	TS
[Cu]O[Cu]	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.1	C(=O)([O-])[O-].[K+].[K+]	1	CS(=O)C	0.5	60	1.1	6.59	17.15	7	TS
Cl[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	CS(=O)C	0.5	60	1.5	26.71	42.07	7	TS
Cl[Cu]	Cc2ccc(C(O)(c1ccc[nH]1)C(F)(F)F)cc2	0.05	[K+].[OH-]	2	CC(C)CO	0.5	60	1.1	0.00	100.00	7	TS
Cl[Cu]	C1CCC(C(C1)N)N	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	1	OCC	0.5	80	1.5	12.49	75.26	7	TS
Br[Cu]	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	0.5	CS(=O)C	1	60	1.1	9.62	40.43	7	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	O=n2cccc1cccc(O)c12	0.1	[I-].CCCC[N+](CCCC)(CCCC)CCCC	2	OCC	1	80	1.1	13.06	82.12	8	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	COc2cc(OC)c(NC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC)c(OC)c2	0.05	[K+].[K+].[K+].[O-]P([O-])([O-])=O	2	CC(C)CO	1	80	1.1	64.47	80.45	8	TS
Br[Cu]	CC(C)(C)CC(=O)CC(=O)CC(C)(C)C	0.05	C(=O)([O-])[O-].[K+].[K+]	1	CS(=O)C	1	80	1.5	59.01	70.10	8	TS
Cl[Cu]	CN(C)CCO	0.1	C(=O)([O-])[O-].[K+].[K+]	0.5	O1C(C)CCC1	0.5	80	1.5	3.29	15.46	8	TS
[Cu]O[Cu]	C1CCC(C(C1)N)N	0.05	CCN(CC)CC	2	Cc1ccccc1	0.5	80	1.5	1.62	11.50	8	TS
Br[Cu]	OCCO	0.05	CCN(CC)CC	2	O1C(C)CCC1	0.5	60	1.5	0.41	4.39	8	TS
Cl[Cu]	OCCO	0.1	CCN(CC)CC	1	O1C(C)CCC1	1	80	1.5	2.65	24.30	8	TS
[Cu]I	O=n2cccc1cccc(O)c12	0.1	CCN(CC)CC	1	CS(=O)C	0.5	60	1.5	10.77	27.53	8	TS
[O+]1C(C)O[Cu-3]23([OH2+])[O+]C(C)O[Cu-3]1([OH2+])(OC(C)[O+]2)OC(C)[O+]3	O=n2cccc1cccc(O)c12	0.1	C(=O)([O-])[O-].[K+].[K+]	1	ACN	1	80	1.1	16.24	29.99	9	TS
[Cu]O[Cu]	Cc1cccc(C)c1NC(=O)C(=O)O	0.1	[K+].[OH-]	1	ACN	0.5	80	1.1	32.51	73.13	9	TS
